Main / Associated,Document URL,Document Name,Link ,Contract Name,Contract Identifier,Language,Country Name,Resource,Contract Type,Signature Date,Document Type,Government Entity,Government Identifier,Company Name 1,Company Name 2,Company Name 1 (concatenated),Company Name 1 ,Company Name 2,Company Name 3,Company Name 4,Company Name 3,Company Name 5,Company Name 6,Company Name 4,Company Name 8,Company Address 1,Jurisdiction of Incorporation 1,Registration Agency 1,Company Number 1,Corporate Grouping 1,Participation Share 1,Open Corporates Link 1,Incorporation Date 1,Operator 1,Company Name 2,Jurisdiction of Incorporation 2,Registration Agency 2,Company Number 2,Corporate Grouping 2,Participation Share 2,Open Corporates Link 2,Incorporation Date 2,Operator 2,Project Title,Project Identifier,License Name,License Identifier,Source Url,Disclosure Mode,Retrieval Date
Main,https://www.gob.mx/cms/uploads/attachment/file/195340/Contrato.pdf,,Works,,,es,Mexico,Hydrocarbons,Farmout,2017-02-28,Contract,Comisión Nacional de Hidrocarburos,,Chevron Energía de México,S. de R.L. de C.V.,Chevron Energía de México S. de R.L. de C.V.,Chevron Energía de México S. de R.L. de C.V.,Pemex Exploración y Producción,Pemex Exploración y Producción,e Inpex E&P Mexico,Inpex E&P Mexico  S.A. de C.V.,S.A. de C.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://docs.google.com/viewer?url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F196461%2FContrato_TRION.pdf,,Works,Área Contractual Trión,,es,Mexico,Hydrocarbons,Farmout,2017-03-03,Contract,Comisión Nacional de Hidrocarburos,,BHP Billiton Petróleo Operaciones de México,S. de R.L. de C.V.,BHP Billiton Petróleo Operaciones de México S. de R.L. de C.V.,BHP Billiton Petróleo Operaciones de México S. de R.L. de C.V.,Pemex Exploración y Producción ,y Pemex Exploración y Producción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/198308/Contrato_Area_1_Cinturon_Plegado_Perdido.pdf,,Works,"Área Contractual 1, Ronda 1-4 (Cinturon Plegado Perdido)",,es,Mexico,Hydrocarbons,,2017-03-10,Contract,Comisión Nacional de Hidrocarburos,,China Offshore Oil Corporation e&P Mexico,S.A.P.I. de C.V.,China Offshore Oil Corporation e&P Mexico S.A.P.I. de C.V.,China Offshore Oil Corporation e&P Mexico S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/198315/Contrato_Area_1_Cuenca_Salina.pdf,,Works,"Área Contractual 1, Ronda 1-4 (Cuenca Salina)",,es,Mexico,Hydrocarbons,,2017-03-10,Contract,Comisión Nacional de Hidrocarburos,,Statoil E&P Mexico,S.A. de C.V.,Statoil E&P Mexico S.A. de C.V.,Statoil E&P Mexico S.A. de C.V.,BP Exploration Mexico S.A. de C.V.,BP Exploration Mexico,S.A. de C.V.,Total E&P Mexico  S.A. de C.V.,y Total E&P Mexico,S.A. de C.V.,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/198316/Contrato_Area_2_Cinturon_Plegado_Perdido.pdf,,Works,"Área Contractual 2, Ronda 1-4 (Cinturon Plegado Perdido)",,es,Mexico,Hydrocarbons,,2017-03-10,Contract,Comisión Nacional de Hidrocarburos,,Total E&P Mexico,S.A. de C.V.,Total E&P Mexico S.A. de C.V.,Total E&P Mexico S.A. de C.V.,Exxonmobil Exploración y Producción México S. de R.L. de C.V.,y Exxonmobil Exploración y Producción México,S. de R.L. de C.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/198317/Contrato_Area_3_Cuenca_Salina.pdf,,Works,"Área Contractual 3, Ronda 1-4 (Cuenca Salina)",,es,Mexico,Hydrocarbons,,2017-03-10,Contract,Comisión Nacional de Hidrocarburos,,Statoil E&P Mexico,S.A. de C.V.,Statoil E&P Mexico S.A. de C.V.,Statoil E&P Mexico S.A. de C.V.,BP Exploration Mexico S.A. de C.V.,BP Exploration Mexico,S.A. de C.V.,Total E&P Mexico  S.A. de C.V.,y Total E&P Mexico,S.A. de C.V.,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/198318/Contrato_Area_4_Cinturon_Plegado_Perdido.pdf,,Works,"Área Contractual 4, Ronda 1-4 (Cinturon Plegado Perdido)",,es,Mexico,Hydrocarbons,,2017-03-10,Contract,Comisión Nacional de Hidrocarburos,,China Offshore Oil Corporation E&P Mexico,S.A.P.I. de C.V.,China Offshore Oil Corporation E&P Mexico S.A.P.I. de C.V.,China Offshore Oil Corporation E&P Mexico S.A.P.I. de C.V., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/198319/Contrato_Area_4_Cuenca_Salina.pdf,,Works,"Área Contractual 4, Ronda 1-4 (Cuenca Salina)",,es,Mexico,Hydrocarbons,,2017-03-10,Contract,Comisión Nacional de Hidrocarburos,,PC Carigali Mexico Operations,S.A. de C.V.,PC Carigali Mexico Operations S.A. de C.V.,PC Carigali Mexico Operations S.A. de C.V.,Sierra Coronado E&P S. de R.L. de C.V.,y Sierra Coronado E&P,S. de R.L. de C.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/198305/Contrato_Area_5_Cuenca_Salina.pdf,,Works,"Área Contractual 5, Ronda 1-4 (Cuenca Salina)",,es,Mexico,Hydrocarbons,,2017-03-10,Contract,Comisión Nacional de Hidrocarburos,,Murphy Sur,S. de R.L. de C.V.,Murphy Sur S. de R.L. de C.V.,Murphy Sur S. de R.L. de C.V.,Ophir Mexico Block 5 Salina S.A. de C.V.,Ophir Mexico Block 5 Salina,S.A. de C.V., PC Carigali Mexico Operations  S.A. de C.V.,PC Carigali Mexico Operations,S.A. de C.V.,Sierra Offshore exploration S. de R.L. de C.V.,S. de R.L. de C.V.,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://docs.google.com/viewer?url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F283510%2FContrato_.pdf,,Works,Área Contractual EK-Balam,,es,Mexico,Hydrocarbons,Migración Pemex,2017-05-02,Contract,Comisión Nacional de Hidrocarburos,,Pemex Exploración y Producción,,Pemex Exploración y Producción ,Pemex Exploración y Producción,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
